rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
1,Avatar,2009,2000's,"785,221,649",26.9%,"2,138,484,377",73.1%,"2,923,706,026","237,000,000",1234%,12.3,2:42:00,PG-13
2,Avengers: Endgame,2019,2010's,"858,373,000",30.7%,"1,941,066,100",69.3%,"2,799,439,100","356,000,000",786%,7.9,3:01:00,PG-13
3,Avatar: The Way of Water,2022,2020's,"684,075,767",29.5%,"1,636,174,514",70.5%,"2,320,250,281","460,000,000",504%,5.0,3:12:00,PG-13
4,Titanic,1997,1990's,"674,292,608",29.8%,"1,590,450,697",70.2%,"2,264,743,305","200,000,000",1132%,11.3,3:14:00,PG-13
5,Star Wars: Episode VII - The Force Awakens,2015,2010's,"936,662,225",45.2%,"1,134,647,993",54.8%,"2,071,310,218","245,000,000",845%,8.5,2:18:00,PG-13
6,Avengers: Infinity War,2018,2010's,"678,815,482",33.1%,"1,373,599,557",66.9%,"2,052,415,039","300,000,000",684%,6.8,2:29:00,PG-13
7,Spider-Man: No Way Home,2021,2020's,"814,115,070",42.4%,"1,107,732,041",57.6%,"1,921,847,111","200,000,000",961%,9.6,2:28:00,PG-13
8,Jurassic World,2015,2010's,"653,406,625",39.1%,"1,018,130,819",60.9%,"1,671,537,444","150,000,000",1114%,11.1,2:04:00,PG-13
9,The Lion King,2019,2010's,"543,638,043",32.7%,"1,119,437,358",67.3%,"1,663,075,401","260,000,000",640%,6.4,1:58:00,PG
10,The Avengers,2012,2010's,"623,357,910",41.0%,"897,180,626",59.0%,"1,520,538,536","220,000,000",691%,6.9,2:23:00,PG-13
11,Furious 7,2015,2010's,"353,007,020",23.3%,"1,162,334,379",76.7%,"1,515,341,399","190,000,000",798%,8.0,2:17:00,PG-13
12,Top Gun: Maverick,2022,2020's,"718,732,821",48.1%,"776,963,471",51.9%,"1,495,696,292","170,000,000",880%,8.8,2:10:00,PG-13
13,Frozen II,2019,2010's,"477,373,578",32.8%,"979,309,898",67.2%,"1,456,683,476","150,000,000",971%,9.7,1:43:00,PG
14,Barbie,2023,2020's,"626,647,793",44.2%,"791,800,000",55.8%,"1,418,447,793","151,000,000",939%,9.4,1:54:00,PG-13
15,Avengers: Age of Ultron,2015,2010's,"459,005,868",32.7%,"946,012,180",67.3%,"1,405,018,048","250,000,000",562%,5.6,2:21:00,PG-13
16,The Super Mario Bros. Movie,2023,2020's,"574,934,330",42.2%,"787,217,776",57.8%,"1,362,152,106","100,000,000",1362%,13.6,1:32:00,PG
17,Black Panther,2018,2010's,"700,426,566",51.9%,"649,499,517",48.1%,"1,349,926,083","200,000,000",675%,6.7,2:14:00,PG-13
18,Harry Potter and the Deathly Hallows: Part 2,2011,2010's,"381,447,587",28.4%,"960,912,354",71.6%,"1,342,359,941","125,000,000",1074%,10.7,2:10:00,PG-13
19,Star Wars: Episode VIII - The Last Jedi,2017,2010's,"620,181,382",46.5%,"714,226,324",53.5%,"1,334,407,706","317,000,000",421%,4.2,2:32:00,PG-13
20,Jurassic World: Fallen Kingdom,2018,2010's,"417,719,760",31.9%,"892,746,536",68.1%,"1,310,466,296","170,000,000",771%,7.7,2:08:00,PG-13
21,Frozen,2013,2010's,"400,953,009",31.2%,"883,587,509",68.8%,"1,284,540,518","150,000,000",856%,8.6,1:42:00,PG
22,Beauty and the Beast,2017,2010's,"504,481,165",39.8%,"761,634,799",60.2%,"1,266,115,964","160,000,000",791%,7.9,2:09:00,PG
23,Incredibles 2,2018,2010's,"608,581,744",49.0%,"634,643,923",51.0%,"1,243,225,667","200,000,000",622%,6.2,1:58:00,PG
24,The Fate of the Furious,2017,2010's,"226,008,385",18.3%,"1,009,996,733",81.7%,"1,236,005,118","250,000,000",494%,4.9,2:16:00,PG-13
25,Iron Man 3,2013,2010's,"409,013,994",33.6%,"806,563,211",66.4%,"1,215,577,205","200,000,000",608%,6.1,2:10:00,PG-13
26,Minions,2015,2010's,"336,045,770",29.0%,"823,398,892",71.0%,"1,159,444,662","74,000,000",1567%,15.7,1:31:00,PG
27,Captain America: Civil War,2016,2010's,"408,084,349",35.3%,"746,962,067",64.7%,"1,155,046,416","250,000,000",462%,4.6,2:27:00,PG-13
28,Aquaman,2018,2010's,"335,104,314",29.2%,"813,424,079",70.8%,"1,148,528,393","160,000,000",718%,7.2,2:23:00,PG-13
29,The Lord of the Rings: The Return of the King,2003,2000's,"379,427,292",33.1%,"768,206,541",66.9%,"1,147,633,833","94,000,000",1221%,12.2,3:21:00,PG-13
30,Skyfall,2012,2010's,"304,360,277",26.6%,"838,111,018",73.4%,"1,142,471,295","200,000,000",571%,5.7,2:23:00,PG-13
31,Spider-Man: Far from Home,2019,2010's,"390,532,085",34.5%,"741,395,911",65.5%,"1,131,927,996","160,000,000",707%,7.1,2:09:00,PG-13
32,Captain Marvel,2019,2010's,"426,829,839",37.7%,"704,586,607",62.3%,"1,131,416,446","160,000,000",707%,7.1,2:03:00,PG-13
33,Transformers: Dark of the Moon,2011,2010's,"352,390,543",31.4%,"771,403,536",68.6%,"1,123,794,079","195,000,000",576%,5.8,2:34:00,PG-13
34,Jurassic Park,1993,1990's,"407,185,075",36.6%,"705,953,473",63.4%,"1,113,138,548","63,000,000",1767%,17.7,2:07:00,PG-13
35,Transformers: Age of Extinction,2014,2010's,"245,439,076",22.2%,"858,614,996",77.8%,"1,104,054,072","210,000,000",526%,5.3,2:45:00,PG-13
36,The Dark Knight Rises,2012,2010's,"448,149,584",41.5%,"633,020,241",58.5%,"1,081,169,825","250,000,000",432%,4.3,2:44:00,PG-13
37,Star Wars: Episode IX - The Rise of Skywalker,2019,2010's,"515,202,542",47.8%,"561,819,830",52.2%,"1,077,022,372","275,000,000",392%,3.9,2:21:00,PG-13
38,Joker,2019,2010's,"335,477,657",31.2%,"738,980,625",68.8%,"1,074,458,282","55,000,000",1954%,19.5,2:02:00,R
39,Toy Story 4,2019,2010's,"434,038,008",40.4%,"639,803,386",59.6%,"1,073,841,394","200,000,000",537%,5.4,1:40:00,G
40,Toy Story 3,2010,2010's,"415,004,880",38.9%,"652,311,221",61.1%,"1,067,316,101","200,000,000",534%,5.3,1:43:00,G
41,Pirates of the Caribbean: Dead Man's Chest,2006,2000's,"423,315,812",39.7%,"642,863,935",60.3%,"1,066,179,747","225,000,000",474%,4.7,2:31:00,PG-13
42,Rogue One: A Star Wars Story,2016,2010's,"533,539,991",50.4%,"525,142,151",49.6%,"1,058,682,142","200,000,000",529%,5.3,2:13:00,PG-13
43,Aladdin,2019,2010's,"355,559,216",33.7%,"698,744,784",66.3%,"1,054,304,000","183,000,000",576%,5.8,2:08:00,PG
44,Pirates of the Caribbean: On Stranger Tides,2011,2010's,"241,071,802",23.0%,"805,649,464",77.0%,"1,046,721,266","250,000,000",419%,4.2,2:17:00,PG-13
45,Despicable Me 3,2017,2010's,"264,624,300",25.6%,"770,175,831",74.4%,"1,034,800,131","80,000,000",1294%,12.9,1:29:00,PG
46,Finding Dory,2016,2010's,"486,295,561",47.2%,"542,971,428",52.8%,"1,029,266,989","200,000,000",515%,5.1,1:37:00,PG
47,Star Wars: Episode I - The Phantom Menace,1999,1990's,"474,544,677",46.2%,"552,538,030",53.8%,"1,027,082,707","115,000,000",893%,8.9,2:16:00,PG
48,Zootopia,2016,2010's,"341,268,248",33.3%,"684,253,441",66.7%,"1,025,521,689","150,000,000",684%,6.8,1:48:00,PG
49,Alice in Wonderland,2010,2010's,"334,191,110",32.6%,"691,277,106",67.4%,"1,025,468,216","200,000,000",513%,5.1,1:48:00,PG
50,Harry Potter & the Sorcerer's Stone,2001,2000's,"318,886,962",31.1%,"704,977,263",68.9%,"1,023,864,225","125,000,000",819%,8.2,2:32:00,PG
51,The Hobbit: An Unexpected Journey,2012,2010's,"303,030,651",29.8%,"714,000,000",70.2%,"1,017,030,651","200,000,000",509%,5.1,2:49:00,PG-13
52,The Dark Knight,2008,2000's,"534,987,076",53.2%,"471,247,091",46.8%,"1,006,234,167","185,000,000",544%,5.4,2:32:00,PG-13
53,Jurassic World Dominion,2022,2020's,"376,851,080",37.6%,"625,127,000",62.4%,"1,001,978,080","165,000,000",607%,6.1,2:27:00,PG-13
54,Jumanji: Welcome to the Jungle,2017,2010's,"404,540,171",40.6%,"590,798,946",59.4%,"995,339,117","90,000,000",1106%,11.1,1:59:00,PG-13
55,Harry Potter and the Deathly Hallows: Part 1,2010,2010's,"296,374,621",30.3%,"680,695,761",69.7%,"977,070,382","125,000,000",782%,7.8,2:26:00,PG-13
56,Despicable Me 2,2013,2010's,"368,065,385",37.9%,"602,700,620",62.1%,"970,766,005","76,000,000",1277%,12.8,1:38:00,PG
57,The Lion King,1994,1990's,"422,783,777",43.7%,"545,728,028",56.3%,"968,511,805","45,000,000",2152%,21.5,1:28:00,G
58,The Jungle Book (2016),2016,2010's,"364,001,123",37.6%,"603,723,652",62.4%,"967,724,775","175,000,000",553%,5.5,1:46:00,PG
59,The Hobbit: The Battle of the Five Armies,2014,2010's,"255,138,261",26.5%,"707,063,077",73.5%,"962,201,338","250,000,000",385%,3.8,2:24:00,PG-13
60,Pirates of the Caribbean: At World's End,2007,2000's,"309,420,425",32.2%,"652,270,784",67.8%,"961,691,209","300,000,000",321%,3.2,2:49:00,PG-13
61,The Hobbit: The Desolation of Smaug,2013,2010's,"258,387,334",26.9%,"700,640,658",73.1%,"959,027,992","250,000,000",384%,3.8,2:41:00,PG-13
62,Doctor Strange in the Multiverse of Madness,2022,2020's,"411,331,607",43.0%,"544,444,197",57.0%,"955,775,804","200,000,000",478%,4.8,2:06:00,PG-13
63,The Lord of the Rings: The Two Towers,2002,2000's,"342,952,511",36.2%,"604,991,759",63.8%,"947,944,270","94,000,000",1008%,10.1,2:59:00,PG-13
64,Harry Potter and the Order of the Phoenix,2007,2000's,"292,382,727",31.0%,"649,895,317",69.0%,"942,278,044","150,000,000",628%,6.3,2:18:00,PG-13
65,Finding Nemo,2003,2000's,"380,843,261",40.4%,"560,794,699",59.6%,"941,637,960","94,000,000",1002%,10.0,1:40:00,G
66,Minions: The Rise of Gru,2022,2020's,"369,695,210",39.3%,"569,933,000",60.7%,"939,628,210","80,000,000",1175%,11.7,1:27:00,PG
67,Harry Potter and the Half-Blood Prince,2009,2000's,"302,334,374",32.4%,"632,185,012",67.6%,"934,519,386","250,000,000",374%,3.7,2:33:00,PG
68,Shrek 2,2004,2000's,"441,226,247",47.5%,"487,534,523",52.5%,"928,760,770","150,000,000",619%,6.2,1:33:00,PG
69,Harry Potter and the Chamber of Secrets,2002,2000's,"262,641,637",28.4%,"663,094,133",71.6%,"925,735,770","100,000,000",926%,9.3,2:41:00,PG
70,Oppenheimer,2023,2020's,"319,378,170",35.0%,"593,970,000",65.0%,"913,348,170","100,000,000",913%,9.1,3:00:00,R
71,Bohemian Rhapsody,2018,2010's,"216,668,042",23.8%,"694,141,269",76.2%,"910,809,311","52,000,000",1752%,17.5,2:14:00,PG-13
72,The Battle at Lake Changjin,2021,2020's,"342,411",0.0%,"902,206,065",100.0%,"902,548,476","100,000,000",903%,9.0,2:56:00,NR
73,The Lord of the Rings: The Fellowship of the Ring,2001,2000's,"316,115,420",35.2%,"582,089,000",64.8%,"898,204,420","93,000,000",966%,9.7,2:58:00,PG-13
74,Harry Potter and the Goblet of Fire,2005,2000's,"290,469,928",32.4%,"606,345,381",67.6%,"896,815,309","150,000,000",598%,6.0,2:37:00,PG-13
75,Spider-Man 3,2007,2000's,"336,530,303",37.6%,"558,453,070",62.4%,"894,983,373","258,000,000",347%,3.5,2:19:00,PG-13
76,The Secret Life of Pets,2016,2010's,"368,383,330",41.2%,"525,944,139",58.8%,"894,327,469","75,000,000",1192%,11.9,1:27:00,PG
77,Ice Age: Dawn of the Dinosaurs,2009,2000's,"196,573,705",22.2%,"690,113,112",77.8%,"886,686,817","90,000,000",985%,9.9,1:34:00,PG
78,Spectre,2015,2010's,"200,074,609",22.7%,"680,630,703",77.3%,"880,705,312","245,000,000",359%,3.6,2:28:00,PG-13
79,Spider-Man: Homecoming,2017,2010's,"334,201,140",38.0%,"545,965,784",62.0%,"880,166,924","175,000,000",503%,5.0,2:13:00,PG-13
80,Ice Age: Continental Drift,2012,2010's,"161,321,843",18.4%,"715,922,939",81.6%,"877,244,782","95,000,000",923%,9.2,1:28:00,PG
81,Batman v Superman: Dawn of Justice,2016,2010's,"330,360,194",37.8%,"543,277,334",62.2%,"873,637,528","250,000,000",349%,3.5,2:31:00,PG-13
82,Wolf Warrior 2,2017,2010's,"2,721,100",0.3%,"867,604,339",99.7%,"870,325,439","30,100,000",2891%,28.9,2:03:00,NR
83,Star Wars: Episode III - Revenge of the Sith,2005,2000's,"380,270,577",43.8%,"488,119,983",56.2%,"868,390,560","113,000,000",768%,7.7,2:20:00,PG-13
84,The Hunger Games: Catching Fire,2013,2010's,"424,668,047",49.1%,"440,343,699",50.9%,"865,011,746","130,000,000",665%,6.7,2:26:00,PG-13
85,Guardians of the Galaxy Vol. 2,2017,2010's,"389,813,101",45.1%,"473,942,950",54.9%,"863,756,051","200,000,000",432%,4.3,2:16:00,PG-13
86,Black Panther: Wakanda Forever,2022,2020's,"453,829,060",52.8%,"405,379,776",47.2%,"859,208,836","250,000,000",344%,3.4,2:41:00,PG-13
87,Inside Out,2015,2010's,"356,921,711",41.6%,"501,926,308",58.4%,"858,848,019","175,000,000",491%,4.9,1:35:00,PG
88,Venom,2018,2010's,"213,515,506",24.9%,"642,569,645",75.1%,"856,085,151","100,000,000",856%,8.6,1:52:00,PG-13
89,Thor: Ragnarok,2017,2010's,"315,058,289",36.8%,"540,243,517",63.2%,"855,301,806","180,000,000",475%,4.8,2:10:00,PG-13
90,The Twilight Saga: Breaking Dawn - Part 2,2012,2010's,"292,324,737",34.4%,"556,269,211",65.6%,"848,593,948","120,000,000",707%,7.1,1:55:00,PG-13
91,Guardians of the Galaxy Vol. 3,2023,2020's,"358,995,815",42.5%,"486,559,962",57.5%,"845,555,777","250,000,000",338%,3.4,2:30:00,PG-13
92,Inception,2010,2010's,"292,587,330",34.9%,"546,443,300",65.1%,"839,030,630","160,000,000",524%,5.2,2:28:00,PG-13
93,Transformers: Revenge of the Fallen,2009,2000's,"402,111,870",48.1%,"434,191,823",51.9%,"836,303,693","200,000,000",418%,4.2,2:29:00,PG-13
94,Spider-Man,2002,2000's,"407,022,860",49.3%,"418,002,176",50.7%,"825,025,036","139,000,000",594%,5.9,2:01:00,PG-13
95,Wonder Woman,2017,2010's,"412,845,172",50.2%,"410,009,114",49.8%,"822,854,286","149,000,000",552%,5.5,2:21:00,PG-13
96,"Hi, Mom",2021,2020's,0,0.0%,"822,009,764",100.0%,"822,009,764","59,000,000",1393%,13.9,2:08:00,NR
97,Independence Day,1996,1990's,"306,169,268",37.5%,"511,231,623",62.5%,"817,400,891","75,000,000",1090%,10.9,2:25:00,PG-13
98,Coco,2017,2010's,"210,460,015",25.8%,"603,877,039",74.2%,"814,337,054","175,000,000",465%,4.7,1:45:00,PG
99,Fantastic Beasts and Where to Find Them,2016,2010's,"234,037,575",28.7%,"580,006,426",71.3%,"814,044,001","180,000,000",452%,4.5,2:12:00,PG-13
100,Shrek the Third,2007,2000's,"322,719,944",39.7%,"490,647,436",60.3%,"813,367,380","160,000,000",508%,5.1,1:33:00,PG
101,Jumanji: The Next Level,2019,2010's,"320,314,960",40.0%,"481,378,969",60.0%,"801,693,929","125,000,000",641%,6.4,2:03:00,PG-13
102,Harry Potter and the Prisoner of Azkaban,2004,2000's,"250,105,651",31.4%,"547,555,114",68.6%,"797,660,765","130,000,000",614%,6.1,2:22:00,PG
103,Pirates of the Caribbean: Dead Men Tell No Tales,2017,2010's,"172,558,876",21.7%,"623,363,422",78.3%,"795,922,298","230,000,000",346%,3.5,2:09:00,PG-13
104,Mission: Impossible - Fallout,2018,2010's,"220,159,104",27.8%,"571,498,294",72.2%,"791,657,398","178,000,000",445%,4.4,2:27:00,PG-13
105,2012,2009,2000's,"166,112,167",21.0%,"625,105,659",79.0%,"791,217,826","200,000,000",396%,4.0,2:38:00,PG-13
106,Indiana Jones and the Kingdom of the Crystal Skull,2008,2000's,"317,101,119",40.1%,"473,552,823",59.9%,"790,653,942","185,000,000",427%,4.3,2:02:00,PG-13
107,Spider-Man 2,2004,2000's,"373,585,825",47.4%,"415,390,628",52.6%,"788,976,453","200,000,000",394%,3.9,2:07:00,PG-13
108,Fast & Furious 6,2013,2010's,"238,679,850",30.3%,"550,001,118",69.7%,"788,680,968","160,000,000",493%,4.9,2:10:00,PG-13
109,Deadpool 2,2018,2010's,"324,591,735",41.3%,"461,304,874",58.7%,"785,896,609","110,000,000",714%,7.1,1:59:00,R
110,Deadpool,2016,2010's,"363,070,709",46.4%,"419,766,082",53.6%,"782,836,791","58,000,000",1350%,13.5,1:48:00,R
111,No Time to Die,2021,2020's,"160,891,007",20.8%,"613,262,000",79.2%,"774,153,007","250,000,000",310%,3.1,2:43:00,PG-13
112,Guardians of the Galaxy,2014,2010's,"333,718,600",43.2%,"439,631,547",56.8%,"773,350,147","170,000,000",455%,4.5,2:01:00,PG-13
113,The Batman,2022,2020's,"369,345,583",47.9%,"401,617,000",52.1%,"770,962,583","200,000,000",385%,3.9,2:56:00,PG-13
114,Thor: Love and Thunder,2022,2020's,"343,256,830",45.1%,"417,671,251",54.9%,"760,928,081","250,000,000",304%,3.0,1:58:00,PG-13
115,Fast & Furious Presents: Hobbs & Shaw,2019,2010's,"173,956,935",22.9%,"586,775,991",77.1%,"760,732,926","200,000,000",380%,3.8,2:17:00,PG-13
116,The Da Vinci Code,2006,2000's,"217,536,138",28.6%,"542,470,807",71.4%,"760,006,945","125,000,000",608%,6.1,2:29:00,PG-13
117,Maleficent,2014,2010's,"241,410,378",31.8%,"518,443,307",68.2%,"759,853,685","180,000,000",422%,4.2,1:37:00,PG
118,The Amazing Spider-Man,2012,2010's,"262,030,663",34.6%,"495,900,000",65.4%,"757,930,663","230,000,000",330%,3.3,2:16:00,PG-13
119,The Hunger Games: Mockingjay - Part 1,2014,2010's,"337,135,885",44.6%,"418,220,826",55.4%,"755,356,711","125,000,000",604%,6.0,2:03:00,PG-13
120,Shrek Forever After,2010,2010's,"238,736,787",31.7%,"513,864,080",68.3%,"752,600,867","165,000,000",456%,4.6,1:35:00,PG
121,Gravity,2013,2010's,"274,092,705",36.6%,"473,957,244",63.4%,"748,049,949","100,000,000",748%,7.5,1:31:00,PG-13
122,Madagascar 3: Europe's Most Wanted,2012,2010's,"216,391,482",29.0%,"530,529,792",71.0%,"746,921,274","145,000,000",515%,5.2,1:35:00,PG
123,Suicide Squad,2016,2010's,"325,100,054",43.5%,"421,746,840",56.5%,"746,846,894","175,000,000",427%,4.3,2:03:00,PG-13
124,X-Men: Days of Future Past,2014,2010's,"233,921,534",31.4%,"512,124,166",68.6%,"746,045,700","200,000,000",373%,3.7,2:12:00,PG-13
125,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,2000's,"291,710,957",39.2%,"453,302,158",60.8%,"745,013,115","180,000,000",414%,4.1,2:23:00,PG
126,Monsters University,2013,2010's,"268,492,764",36.1%,"475,066,881",63.9%,"743,559,645","200,000,000",372%,3.7,1:44:00,G
127,The Matrix Reloaded,2003,2000's,"281,576,461",38.0%,"460,271,476",62.0%,"741,847,937","150,000,000",495%,4.9,2:18:00,R
128,E.T. the Extra-Terrestrial,1982,1980's,"437,141,279",59.0%,"304,203,888",41.0%,"741,345,167","10,500,000",7060%,70.6,1:55:00,PG
129,Up,2009,2000's,"293,004,164",39.9%,"442,094,938",60.1%,"735,099,102","175,000,000",420%,4.2,1:36:00,PG
130,Ne Zha,2019,2010's,"3,695,533",0.5%,"722,568,541",99.5%,"726,264,074","20,000,000",3631%,36.3,1:50:00,NR
131,F9: The Fast Saga,2021,2020's,"173,005,945",23.8%,"553,223,556",76.2%,"726,229,501","200,000,000",363%,3.6,2:23:00,PG-13
132,Captain America: The Winter Soldier,2014,2010's,"259,766,572",36.4%,"454,654,931",63.6%,"714,421,503","170,000,000",420%,4.2,2:16:00,PG-13
133,The Twilight Saga: Breaking Dawn - Part 1,2011,2010's,"281,287,133",39.5%,"430,918,723",60.5%,"712,205,856","110,000,000",647%,6.5,1:57:00,PG-13
134,The Twilight Saga: New Moon,2009,2000's,"297,816,253",41.9%,"413,209,228",58.1%,"711,025,481","50,000,000",1422%,14.2,2:10:00,PG-13
135,Dawn of the Planet of the Apes,2014,2010's,"208,545,589",29.3%,"502,098,977",70.7%,"710,644,566","170,000,000",418%,4.2,2:10:00,PG-13
136,Transformers,2007,2000's,"319,246,193",45.0%,"390,463,587",55.0%,"709,709,780","150,000,000",473%,4.7,2:24:00,PG-13
137,The Amazing Spider-Man 2,2014,2010's,"202,853,933",28.6%,"506,128,390",71.4%,"708,982,323","200,000,000",354%,3.5,2:22:00,PG-13
138,Fast X,2023,2020's,"145,960,660",20.7%,"558,749,000",79.3%,"704,709,660","340,000,000",207%,2.1,2:21:00,PG-13
139,Interstellar,2014,2010's,"188,020,017",26.7%,"515,150,820",73.3%,"703,170,837","165,000,000",426%,4.3,2:49:00,PG-13
140,It,2017,2010's,"328,874,981",46.9%,"372,967,570",53.1%,"701,842,551","35,000,000",2005%,20.1,2:15:00,R
141,The Wandering Earth,2019,2010's,"5,971,413",0.9%,"694,021,099",99.1%,"699,992,512","50,000,000",1400%,14.0,2:05:00,NR
142,The Twilight Saga: Eclipse,2010,2010's,"300,531,751",43.0%,"397,978,074",57.0%,"698,509,825","68,000,000",1027%,10.3,2:04:00,PG-13
143,Mission: Impossible - Ghost Protocol,2011,2010's,"209,397,903",30.1%,"485,315,477",69.9%,"694,713,380","145,000,000",479%,4.8,2:12:00,PG-13
144,Mamma Mia!,2008,2000's,"144,169,664",20.8%,"550,308,728",79.2%,"694,478,392","52,000,000",1336%,13.4,1:48:00,PG-13
145,The Hunger Games,2012,2010's,"408,010,692",58.8%,"286,384,032",41.2%,"694,394,724","78,000,000",890%,8.9,2:22:00,PG-13
146,Spider-Man: Across the Spider-Verse,2023,2020's,"381,311,319",55.3%,"308,499,543",44.7%,"689,810,862","100,000,000",690%,6.9,2:20:00,PG
147,Moana,2016,2010's,"248,757,044",36.2%,"438,471,864",63.8%,"687,228,908","150,000,000",458%,4.6,1:47:00,PG
148,Detective Chinatown 3 ,2021,2020's,0,0.0%,"686,257,563",100.0%,"686,257,563","117,000,000",587%,5.9,2:16:00,R
149,Mission: Impossible - Rogue Nation,2015,2010's,"195,042,377",28.6%,"487,674,259",71.4%,"682,716,636","150,000,000",455%,4.6,2:11:00,PG-13
150,Forrest Gump,1994,1990's,"330,455,270",48.7%,"347,771,195",51.3%,"678,226,465","55,000,000",1233%,12.3,2:22:00,PG-13
151,Doctor Strange,2016,2010's,"232,641,920",34.3%,"445,154,156",65.7%,"677,796,076","165,000,000",411%,4.1,1:55:00,PG-13
152,The Sixth Sense,1999,1990's,"293,506,292",43.6%,"379,300,140",56.4%,"672,806,432","40,000,000",1682%,16.8,1:47:00,PG-13
153,Man of Steel,2013,2010's,"291,045,518",43.6%,"377,000,000",56.4%,"668,045,518","225,000,000",297%,3.0,2:23:00,PG-13
