rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
413,The World Is Not Enough,1999,1990's,"126,943,684",35.1%,"234,888,716",64.9%,"361,832,400","135,000,000",268%,2.7,2:08:00,PG-13
414,Monster Hunt 2,2018,2010's,"706,153",0.2%,"360,976,465",99.8%,"361,682,618","143,000,000",253%,2.5,1:50:00,NR
415,Fast & Furious,2009,2000's,"155,064,265",43.0%,"205,302,605",57.0%,"360,366,870","85,000,000",424%,4.2,1:47:00,PG-13
416,Noah,2014,2010's,"101,200,044",28.2%,"258,000,000",71.8%,"359,200,044","125,000,000",287%,2.9,2:18:00,PG-13
417,The Karate Kid,2010,2010's,"176,591,618",49.2%,"182,534,404",50.8%,"359,126,022","40,000,000",898%,9.0,2:20:00,PG
418,Home Alone 2: Lost in New York,1992,1990's,"173,585,516",48.4%,"185,409,334",51.6%,"358,994,850","20,000,000",1795%,17.9,2:00:00,PG
419,Hotel Transylvania,2012,2010's,"148,313,048",41.4%,"210,062,555",58.6%,"358,375,603","85,000,000",422%,4.2,1:31:00,PG
420,Minority Report,2002,2000's,"132,072,926",36.9%,"226,300,000",63.1%,"358,372,926","102,000,000",351%,3.5,2:25:00,PG-13
421,Top Gun,1986,1980's,"180,258,178",50.5%,"177,030,000",49.5%,"357,288,178","15,000,000",2382%,23.8,1:49:00,PG
422,Spirited Away,2001,2000's,"15,205,725",4.3%,"342,071,675",95.7%,"357,277,400","19,000,000",1880%,18.8,2:05:00,PG
423,The Legend of Tarzan,2016,2010's,"126,643,061",35.5%,"230,057,296",64.5%,"356,700,357","180,000,000",198%,2.0,1:50:00,PG-13
424,American Beauty,1999,1990's,"130,096,601",36.5%,"226,200,000",63.5%,"356,296,601","15,000,000",2375%,23.8,2:02:00,R
425,Apollo 13,1995,1990's,"173,837,933",49.0%,"181,077,570",51.0%,"354,915,503","65,000,000",546%,5.5,2:20:00,PG
426,Rain Man,1988,1980's,"172,825,435",48.7%,"182,000,000",51.3%,"354,825,435","25,000,000",1419%,14.2,2:13:00,R
427,The Great Gatsby,2013,2010's,"144,857,996",41.0%,"208,801,855",59.0%,"353,659,851","105,000,000",337%,3.4,2:23:00,PG-13
428,Dumbo,2019,2010's,"114,766,307",32.5%,"238,518,314",67.5%,"353,284,621","170,000,000",208%,2.1,1:52:00,PG
429,"I, Robot",2004,2000's,"144,801,023",41.0%,"208,332,875",59.0%,"353,133,898","120,000,000",294%,2.9,1:55:00,PG-13
430,Basic Instinct,1992,1990's,"117,727,224",33.4%,"235,200,000",66.6%,"352,927,224","49,000,000",720%,7.2,2:07:00,R
431,Murder on the Orient Express,2017,2010's,"102,826,543",29.1%,"249,967,538",70.9%,"352,794,081","55,000,000",641%,6.4,1:54:00,PG-13
432,X-Men: First Class,2011,2010's,"146,408,305",41.5%,"206,208,385",58.5%,"352,616,690","160,000,000",220%,2.2,2:11:00,PG-13
433,The Angry Birds Movie,2016,2010's,"107,509,366",30.5%,"244,824,563",69.5%,"352,333,929","73,000,000",483%,4.8,1:37:00,PG
434,GoldenEye,1995,1990's,"106,429,941",30.2%,"245,764,093",69.8%,"352,194,034","60,000,000",587%,5.9,2:10:00,PG-13
435,Catch Me If You Can,2002,2000's,"164,615,351",46.8%,"187,498,961",53.2%,"352,114,312","52,000,000",677%,6.8,2:21:00,PG-13
436,Now You See Me,2013,2010's,"117,723,989",33.5%,"234,000,000",66.5%,"351,723,989","75,000,000",469%,4.7,1:55:00,PG-13
437,Hannibal,2001,2000's,"165,092,268",46.9%,"186,600,000",53.1%,"351,692,268","87,000,000",404%,4.0,2:11:00,R
438,The Mask,1994,1990's,"119,938,730",34.1%,"231,644,677",65.9%,"351,583,407","23,000,000",1529%,15.3,1:41:00,PG-13
439,Peter Rabbit,2018,2010's,"115,253,424",32.8%,"236,242,642",67.2%,"351,496,066","50,000,000",703%,7.0,1:35:00,PG
440,Speed,1994,1990's,"121,248,145",34.6%,"229,200,000",65.4%,"350,448,145","30,000,000",1168%,11.7,1:56:00,R
441,Dinosaur,2000,2000's,"137,748,063",39.4%,"212,074,702",60.6%,"349,822,765","127,500,000",274%,2.7,1:22:00,PG
442,Mary Poppins Returns,2018,2010's,"171,958,438",49.2%,"177,587,704",50.8%,"349,546,142","130,000,000",269%,2.7,2:10:00,PG
443,Deep Impact,1998,1990's,"140,464,664",40.2%,"209,000,000",59.8%,"349,464,664","80,000,000",437%,4.4,2:00:00,PG-13
444,The Lorax,2012,2010's,"214,373,500",61.4%,"134,809,816",38.6%,"349,183,316","70,000,000",499%,5.0,1:26:00,PG
445,The Maze Runner,2014,2010's,"102,427,862",29.4%,"245,891,999",70.6%,"348,319,861","34,000,000",1024%,10.2,1:53:00,PG-13
446,The Smurfs 2,2013,2010's,"71,017,784",20.4%,"276,527,576",79.6%,"347,545,360","105,000,000",331%,3.3,1:45:00,PG
447,National Treasure,2004,2000's,"173,008,894",49.8%,"174,503,424",50.2%,"347,512,318","100,000,000",348%,3.5,2:11:00,PG
448,Rush Hour 2,2001,2000's,"226,164,286",65.1%,"121,161,516",34.9%,"347,325,802","90,000,000",386%,3.9,1:30:00,PG-13
449,Trolls,2016,2010's,"154,025,064",44.4%,"193,157,822",55.6%,"347,182,886","125,000,000",278%,2.8,1:32:00,PG
